,text,label_name,label
1538,بوی شویندهاش به شدت بده ادم سردرد میگیره,ANGRY,0
1607,دقیقا همینطوره ایشوندائمابر طبل ویروسکذایی میکوبه,ANGRY,0
1459,این گوشی نسبت به قیمتش ارزشی ندارد,ANGRY,0
5645,دنیای این روزای من ، درگیر تنهایی شده تنها مدارا میکنیم ، دنیا عجب جایی شده,SAD,4
1138,بسیار شیک و محکم است پیشنهاد میکنم بخرید,HAPPY,2
2695,موس خیلی خوبیه خوش دست و سبک هست,HAPPY,2
8279,عدهای متفکرند در ره دین عدهای بهگمان فتاره در راهیقین میترسم که بانگاید روزی کایبیخبران راه نهانست نه این خیام دیدم شبیهمصرع چهاره,FEAR,1
7220,خیانت یعنی اینکه با همکارتطوری حرف میزنی و رفتار میکنی ، که اگر همسرت بود ، اینگونه حرف نمیزدی ، داری خیانت میکنی رفیق,ANGRY,0
8320,ای نادان ای خرای بیشعورای نفهمجوانا درک ندارن دیگه,ANGRY,0
2473,هر وقت مسئولینحق الناس ملت رو پاسخگو بودند مردم هم بابت مصرف گاز به هم پاسخمیدهند,ANGRY,0
1231,الان ماهیمیشه که خریدم خیلیراضیم,HAPPY,2
6545,بخدا وحشتناک بود,FEAR,1
6914,چراینی ؟,SURPRISE,5
3062,دل شکستهها ، شجاعترین افراد در میان ما هستند ؛ زیرا جرئت عشق ورزیدن داشتهاند,SAD,4
2914,من چهار ماهه خریدم واقعا گوشیهخوبیه,HAPPY,2
2305,باید هزینه سرکوب رو بالا برد جامعه اگربه مرگ هموطنش واکنش قاطع نده این حرامیانهرروز بدتر میکنن,ANGRY,0
5189,خدایا دلهای ما را ، به خبری خوش ، شادساز نیایش,HAPPY,2
4810,عکسهایت را بردی خندهات را بردینگاهت را چمدانت را که میبستی همه چیز را بردی فقط انگار حواست نبود مرا جاگذاشتی درون خودم سعید تقوی,SAD,4
4544,اعصابم چقدر خورده ، از دیروز تا الان درست نخوابیدم و الان خوابمنمیبره اه,ANGRY,0
5391,من فدای پشماتون میدونم وضع مالی خیلیاتونخوبه میدونم اولویتگوشیدسگرفتنتون تفریح و خندهاس ولی یه دوروز همت کنید هرجا هستید بگید مهر اعتصابعمومیه ، باور کنید اگه ما درد هموطنی که این روزا داره از بیپولی و گرانی میرنجه رو حس نکنیم حرمت قلمرو شکستیم,SAD,4
5043,دیروز یکی از کساییکه میشناختم و برام عزیز بود ، خودکشی کرده میتونیدسریتوییتهایدیشبمرو ببینید و دیگهپیشمون نیست ، ولی وقتی یادم میاد بارها از بد بودن حالش و بیانگیزه بودنش حرف زده بود و من بهش بیتوجه بودم ، از خودم بدم میاد دنیاتونو بزرگ کنید ، به آدمها برچسبنزنید,HATE,3
5831,ما نه تنها از دین ک از انسانیت هم فاصله گرفتیم شرمبرما که این صحنههارومیبینیم و هنوز نمردیم,SAD,4
8122,فک کن با چاقوی جاتوببرن کودک _ آزاری,FEAR,1
7470,من دقیقا این مشخصات رو دارم فحشممیدم الان من عنم یا چی ؟؟؟ تو رو خدا مشخص بفرمایید,ANGRY,0
4611,چقدر شاخ مجازی داریم که هر کدام یک نسیم _ اقدمبالقوه میتوانندباشند ؟ شهروندان حبابی از توهم شهرت ، محبوبیت و تاثیرگذاری ، و لبریز از خشم و خشونتفروخورده و محصول سرکوب آزادیهای اجتماعی و سقوط ارزشهای اخلاقی,SAD,4
3534,مهدی و پدرش آقا ماشالله مهسا _ امینی IRGCterorrists,HAPPY,2
1659,باکلاسترین عطر بوی خاص عالیترین از همه لحاظ,HAPPY,2
5259,یاخدادوربینمگاپیکسل,SURPRISE,5
7318,ممنونم از دلداریت من ترسم بعد از رد شدن بحرانرو میشه تو لحظهشجاع ترینمبعدش که ردمیشهیکهومیگم یا خود خدا چکاریه بود,FEAR,1
712,من کشش ندارم ، یهوولمیکنمهمهچیو میرم,SAD,4
8030,بله در تایید فرمایش شما یاد محاکمهی ماریانتوانت در انقلاب کبیر فرانسه افتادم ، که وقتی بهش گفتن مردم از شدت ناتوانی نان ندارند بخورن ، ایشونفرمودن خب برن کیک خامهایبخورن همینقدر نادان از جامعهوحقیقت موجود در ان,ANGRY,0
2721,واقعا خوشمزست و توی خریدششک نکنید,HAPPY,2
7438,فیلم ترسناک دیدم و حس میکنم پشت پرده یه جفت چشم قرمز زل زده به منجناشبانمیرنبخوابن ؟ هرچیم بسماللهمیگمنمیرهگمشه,FEAR,1
1743,نمیدونمچیشد اما خوب شد ، حرفاموزدم و الان دارم گریههامومیکنم,SAD,4
499,گر هزارم جفا و جور کنی دوست دارم هزار چندانت سعدی,SAD,4
3075,اگر صبح از خواب بیدار نشدم بخاطر اینه که از غصه دقکردم محمد _ حسینی مهسا _ امینی,SAD,4
5199,نه یک روز بلکه هزاران سالبریم یه دو قسمتFriendsببینیم روحمون شاد شه,HAPPY,2
4882,اتفاقا من هنوز بهچیزایکوچیکتوجه میکنم هنوز خوشحالم میکنن هنوز حواسم هست هنوز با یکم بالا پایین احساسات مختلف تومتریگرمیشن و این ایستایی برام خوب موندنه حتی اگه از نظر بقیه نامطلوب باشه,HAPPY,2
3859,گگگگگگگگگگگگگگگگگگگگگگگگگگگگگگگگگگلللل گل برای بایرن ، گلزن گنابریییییییییییی چلسی _ بایرن,HAPPY,2
4102,چقدر دلم واسه چرت و پرت گفتن و خندیدن تنگشده الان فکمیکردم دلم واسه فحش هم تنگشده خیلیییییوقته فحش نشنیدم دی,SAD,4
708,خیلی خوبه هم کوچبکههم صداش فوق العادس,HAPPY,2
5671,یکی از خودش میپرسد چرا در هیچ نهادی از آنها کمکنمیگیرند ، دیگری میگوید اگر استخدام میشدهمدیر مسئولحبس میشده اما حرفشان این است ماندهاند و مشکلات را تحمل میکنند تا صدایشان را به گوش مسئولان برسانند اینها حرفهای مهاجران فرهنگی افغان است رنج _ بی _ وطنی _ در _ وطن _ فرهنگی ایسنا,SAD,4
4667,امیدوارم مسئولان امنیتی مملکت براساس چیزی شبیه به آنچه امروز درباره بهنود و صفحه روزنامهنگاران در تلویزیون نشان داده شد ، کشور را اداره و راهنمایی نکنند و این برنامهتنها برای پروپاگاندا ساخته شدهباشد,SAD,4
2594,ظاهرش خوبه و واسه کادو خوبه بوی مرکبات میده,HAPPY,2
6482,آنان که غمگیندیدنترارقص و شادی در خیابانهای اهواز بعد از آزادی کریم _ سیاحی و طارق _ خلفی خیابانها همچنان در تسخیر ماست کارگران _ فولاد _ اهواز,HAPPY,2
6767,اینطور که از شواهد پیداست انگار همینطوره که گفتم,SURPRISE,5
7237,ابدا منم موافق اینکار نیستمصفحمومنشنانم نگاه بندازی کاملا بیزارم ازین حرکت فقط حقمونه و کاش از الان بدونیم و تکلیف یه عده از نمایندهها برامون روشن شه,HATE,3
4207,عاشقان سرشکستهگذشتند ، شرمسار ترانههای بیهنگام خویش وکوچهها بیزمزمهماند و صدای پا آقای افشار ، محبوبترین گوینده خبر برای من ، پرواز کردند تسلیت به تمامی دوستدارانشونروحشون شاد قاسم _ افشار عاشق گوینده _ خبر شاملو ما _ تو _ را _ میبینیم,SAD,4
3537,مراسم هفتم فیکس برای من یک ماه گذشته من بمیرم برای تنهاییش مهسا _ امینی,SAD,4
1365,از بس سرفه کردم صدام شبیهدوبلور آنتونی هاپکینز تو سکوت برهها شده ، لعنت به این کرونا که ول کن نیست,SAD,4
4914,امروز بهمن خشم مردم از نظام به مرحله فوران رسیده مالباختگان موسسه ثامن در مقابل بانک مرکزی را تخریب کردند این خشم با شوافهایی تکراری مثل بهمن نه خاموش میشه نه منحرف اعتراضات _ سراسری,ANGRY,0
3907,عجیبترین چیزی که از خود حدادعادل شنیدم این بود که زمان شاهمیخاستههیئتعلمیبشه در دانشگاه تهران از ساواک استعلام میک,SURPRISE,5
2307,خیلی بد من که راضی نیستم این چه وضعش هست,ANGRY,0
8358,تولدت مبارک مهدی جان انشااله که خدا عمر با عزت بهت بده با مرام و همیشه شاد و موفق باشی داداش,HAPPY,2
1795,خیلیداغمیکنه و سریع خط بر میداره,ANGRY,0
6301,فردا در واقع امروز میخوام حرکتی رو بزنم که توی این سال آرزو داشتم انجام بدم دارم میرم که برگه امتحان سفید تحویل بدم _ ذوق _ مرگ,HAPPY,2
4522,سلفیان برای امواتشان هیچ مراسمی نمیگیرند نماز میت و دفن و والسلام از آن طرف ، ما شیعیان ختم و سوم و هفتم و چهلم و گل و خرما و حلوا و سر مزار و ته مزار و میلیون میلیون خرج و مرخصی بدون حقوق و بدبختی و به راستی این چه افراط و تفریطی است گریبانگیر ما مسلمانان شده ؟,SAD,4
2257,دبیر انجمن متخصصین عفونی کشور درباره پیک جدید کرونا در ماه بهمن هشدار داد,FEAR,1
489,ما گذشتیموگذشت انچه تو با ما کردی تو بمان و دگران اوناریدنبراتاره,SAD,4
5284,مولوی _ عبدالحمید برای سفر به سایر استانها باید با مسئولان استانداری سیستان _ بلوچستان هماهنگی کنم در غیر این صورت اجازه سفر به خارج از این استان به من دادهنمیشود اما علیرغم هماهنگیها نیز اجازه سفر ندارم حصر _ استانی مولانا _ عبدالحمید اهل _ سنت,SAD,4
4994,عجب پیاده روی حقی کردم,HAPPY,2
7580,فقط تعجب کردم ، اینجا به طور جوابآدمومیدن ، چایی که جای خود داره البته همه اینطور نیست ولی حجم بالای مریض و تعداکم پرستار باعث میشه این انتظارات یکم عجیب,SURPRISE,5
7510,شاید ویژگی بدی باشه اما از گریه کردن جلوی کسی متنفرم,HATE,3
439,فقط جایرفیقامونکنیستنخالیه مهسا _ امینی,SAD,4
7499,تو خوده ترسی,FEAR,1
2136,کاش بجا شهید چمران این ، داشش شهید میشد تا کمتر با فسفرسوزیاش مواجه بودیم مهسا _ امینی,SAD,4
1863,با فیو زدن توییت یه نفر باعث شدم توییتشفیواستار بشه تو برای خوشحالی دیگران چه کردهای دوست گرامی,HAPPY,2
631,در عرض سه ماه قیمتش سه برابر شد متاسفانه,ANGRY,0
6097,امروز به معنای واقعی بینهایت غمگین بودم روز عجیبی بود,SAD,4
1055,اگه مردم نجیب ایران طعمداعشرو میچشیدند ، نجیبترمیشدند,ANGRY,0
5365,من که از خرید ام راضیهستمعجب مملکتی داریم ماانگاری همهدقدقشونحجاب خانمهاست,SURPRISE,5
228,این گروه در اهواز برای همبستگی فارس و عرب ایرانی اجرا کردهاند بسیار زیباست مهسا _ امینی,HAPPY,2
3029,کیفیت خوب و قیمت مناسب ممنون از دیجی کالا,HAPPY,2
4589,عجب گلیییییی,SURPRISE,5
820,امروز گرفتم ، ظاهرش خوبه و فکر کنم سایزش خوب باشه,HAPPY,2
2070,خبر آمد که کرزی از افغانستان فرار کرده راست است ؟ StopHazaraGenocide,FEAR,1
3290,خیلی زود با یه ضربه شکست اصلا به درد نمیخوره,ANGRY,0
3579,امشب خیلی خوب بود خیلیچیزاراجبسرور و کانفیگسرور و اجرای برنامه یاد گرفتم دوست دارم,HAPPY,2
7502,نوکرممرسی,HAPPY,2
5509,خونه نزدیک مسجد عیبی نداره یه اذانصبحهکه اونم یا بیدارم یا خواب سنگین نشده که بیدارم کنه اما امروز دیگهشیحه شیهه ؟ یه عدهرو روانمه ولکنم نیستننهمیتونم درس بخونم نهمیتونمدفمو تمرینکنم نهمیتونم فیلم ببینم کلا یه صدای حاشیهای ضعیف بیشتر از دادوفریادعصبیممیکنه,ANGRY,0
2612,داغ پدر ، داغسختیه HERO مرد _ میدان,SAD,4
281,بازار طلا بسته است ولی صندوقهای طلا در بورس داره میلیاردی معاملهمیشه,HAPPY,2
969,ولی قراره تا ابد افسوس بخورم که دوران محمدرضا شاه زندگی نکردم جاوید _ شاه مهسا _ امینی,SAD,4
5000,جوابمو با یه خواهش _ میکنمخشک و خالی داد اعصابمخورد شد اومقدرکه گوشیو شوت کردم یه گوشه بعد از یهمدت گوشیمو چک کردم پیام داده بود,ANGRY,0
496,در عین زیبایی و خوشبویی ، بسادگی قابل حمل است,HAPPY,2
4115,هر درخواستی ازمسئولانمیشهمیگن در حال پیگیری هستیم میخوایم صد سال مشکی پیگیری نکنید,ANGRY,0
8338,کروناچی میشه,SURPRISE,5
5163,حقیقت اینه که اختلال اضطرابی فراگیر رو هیچ وقت تجربه نکردم اما نزدیک یک ماه پیش برای اولین بار دچار پنیکاتک شدم و همونجا بود که رو کردم به سگ سیاه افسردگی که منو ساعت توی تختمیخوابوند گفتم عزیزم ، دوستت دارم,SAD,4
394,این را کادو گرفتم از هر نظر عالیه,HAPPY,2
2220,بهترین گوینده بهترین موسیقی متن بهترین تدوین,HAPPY,2
5894,از این میترسم قبل ازاینکه بتونمخودمو درست بشناسم ، بمیرم,FEAR,1
5400,اینهدفون صداخفنکندار عجب موجود خوفیه این کولی همیشه مسافر چه عمری را تباه کرد توی این پروازها که به جای پادکست به صدای موتور هواپیما گوش میکرده تا به حال,SURPRISE,5
5264,از آدم ترسو و خسیس متنفرم,HATE,3
3308,من تازه خریدم فعلا که عالی کار میکنه,HAPPY,2
5699,به مقدار بوش عجیبه بوی کرفس میده,SURPRISE,5
3477,اون اشکهاییکه ریختید سیل بود برای ویرانی براندازا,ANGRY,0
664,سیلخونه اشکهای من ، از دستم رفت دنیای من,SAD,4
4696,عجب بانک اطلاعاتی پس یعنی اگر من ندونم نماز جمعه تو شهر من کجا برگزار میشه و نماز میت چطوریه این بنده خداها برای بانکاطلاعاتیشونمیخواستن شرمنده من نمیدونستم,SURPRISE,5
6506,رفتار ناپسند مسئولان که در این مورد هیچ توجیهی ندارد ؛ اما کاش دانشجوها سالن را به نشانه اعتراض ترکمیکردند یک اعتراض مدنی درست که احتمالا هزینهای هم نداشت,SAD,4
769,کیفیت ساخت پایین ، اصلا ارزش خرید نداره,ANGRY,0
5541,بهشدت اعصابمریخته به هم و میدونم که به تخمتونم نیست لاشیا,ANGRY,0
6397,وحشی به تخمدانم اصلا,ANGRY,0
4598,واقعن حالم بده از حجم زمانی که تلف میکنم ، ازاینکه براچندرغازمیرم دانشگا درس میدم یا کنکور میگم ، آخرشم هیچی با درآمدش هیچ کدوم از رویاهامرو نمیتونم برآورده کنم باید مسیرمرو تغییر بدم اما چقد برا ما که از بچگی فقط درسخوندیمسخته ولی باید بتونم دوستان,SAD,4
6338,بارها در تاریخ دیدهایم ، حتی در شنیدههای نسلهای زیسته در جوامع سنتی که تمرکز قدرت و نبود قانون ، فضا را برای افراد صاحب قدرت فراهم میکند تا به جان و مال مردم تجاوز کنند تجاوز به بدن زهرا نویدپور نمونه عینی فساد در حکومت فرقه تبهکار است RapistRegime,SAD,4
3314,صبح تو تاریکی از خواب پریدم و نمیفهمیدم من دارم میلرزم یا زلزله داره میاد,FEAR,1
4245,من همچنانآرزومندمرضاییان مصدومشه هر توپی که میاد زیرپاشاعصابمخورد میشه TeamMelli,ANGRY,0
6317,حالا جریانش چیه اگه برااسنیستشالکینخرم که دوباره بازگشتبدستمبرسه بازگشت کالابزنمامشبانقدرقرمه سبزیخوردم وانقدرخندیدم که همین الان میتونم با طیب خاطر بمیرم,HAPPY,2
1071,واااااااااااااااااای زلزله رو حس کردمممممممممممم,FEAR,1
6204,یه سری سلفی تو آینه دارم که فقط به یک کارگردان با استعداد در ساخت فیلمترسناکتقدیمشونمیکنم,FEAR,1
7195,عجب حرکتی کیش و مات,SURPRISE,5
2016,روزی که نسل این قشر خاکستری خشک بشه عید منههرچیمیکشیم از دست سکوت ایناس مهسا _ امینی,ANGRY,0
8187,من و که کلا بلاک کرد آقای دهباشی یک کلام گفتم فروهر و زنش و انقلابیاکه نکشتن چون اگه میخواستن بکشن اول انقلاب که داغتر بودن میکشتن برو ببینکیا روسپی و آتیش زدن بلاکمکرد بچهننهدماغوسیبیلباباشممیچرخه دوچرخه چاقو کلا ازینا دیگه,ANGRY,0
6225,پدر عزیز منو ببر مدرسه عادی بعد داد بزن سرم که چرا ابتدایی همش بیست بودی الان نمرههات افت کرده اصلا من ریدم تو هرچیتیزهوشانه که فقط برام بدبختی داشت فقط حالمو خراب کرد فقط رید تو اعصابم فقط گریم انداخت,ANGRY,0
6433,پن پ انتظار دارید تو برنامه صدا سیما حرفحقیقتبزنه خود رامبدم شاخ درآورد ازدروغش,SURPRISE,5
3080,فوقالعاده و بینظیر حتما پیشنهاد میکنم,HAPPY,2
2217,الان شاهین مقدم رو انداختن زیر چرخ خیاطی,SAD,4
4471,آقای وحشی که مردم رو کتکمیزنی ، شما حتی به ترکیه هم نمیتونی فرار کنی و پناهندهشی مراقب خودت باش فردای _ براندازی خشم این مردم رو خیلی سختمیشه کنترل کرد,ANGRY,0
7633,یه رفیقیدارم رفته یکی ازکشورهای نزدیکقطبو ، ترموبرگشته ، تیزهوشم هست ، الان میخوادبره ادامه بده ، تقریبادیگهامکانش نیست وقتیپرسیدمچرااومدی ؟ گفت ؛ اول غربت ، دوم خورشید پرسیدم خورشید ؟؟ گفت ؛ آره ، یا نیست ، یاوقتیغروب میکردنمیرفت پشت کوه ، میرفتتوزمین ترسناکه جدی من,FEAR,1
891,هزار اسقاطیلی معترض ریختن خیابان خدا با ماست و پیروزی نزدیک است اعتراضات _ سراسری _ تلاویو,HAPPY,2
5390,کودکان زاهدانی به چشمنمیآیند ، مرگ دلخراش دانشجویان در میان هیاهوی سیاستبازانگممیشود فریادبیکفایتیمسئولان دانشگاه آزاد به جایی نمیرسد چون تحت نظارت هیچ نهاد انتخابی نیستند دولت و مجلسنمیتوانندبازخواستشانکنند به مسئولان دانشگاه امیدی نیست اعضای هیئتامناچهمیکنند ؟,SAD,4
5870,یه بار به یکی از همکارا خیلی ارومو درگوشی و با ببخشید خواهشمیکنمگفتمادامسنترکون ، زد زیر گریه ، امروزم واسطه فرستادم به یکی دیگه از همکارا توضیح بدن که ادامسنترکونه وارد فاز خشم اژدها شد ، چتونه خب ؟ میزوفونیا,SURPRISE,5
1270,چطوریمیتونیهمچینمزخرفیبگی ؟,ANGRY,0
2191,پیام زلزله فیک دادید که مردم بریزن بیرون ؟ آخه چقدر احمقیدشماها برای _ زلزله _ های _ اجباری,ANGRY,0
710,من هنوز ناراحتمترامپ رئیسجمهور نشد ، آشپز به اون خوبی,SAD,4
4443,دیشب ساعت دو بیدار شدم و ازاینکه بهم نگفته بود سالی متعجب شده و خوابیدم ، تعجب هیچوقت حسی مجزا نبود همیشه بعدش خشم یا غممیاومد اما دیشب تعجب منو بغل کرد و خوابیدیم,SURPRISE,5
130,من گوشی خریدم خیل عالیارزش قیمتشو داشت,HAPPY,2
7342,حالا اونرومیگیمیجوردکترهحیواناته ، اینا لوازم پزشکی میسازن,SURPRISE,5
5317,اگر یه روزی از دنیا خسته شدی بدون که من دوستت دارم و برات آرزوهای خوب میکنم اینجای دنیا قلب من براتمیتپه هروقت به کمکم احتیاج داشتی صدام کن,HAPPY,2
4233,مسئولان امنیتی آیا تسامح کافی نیست ؟ ضمن عرض تسلیت به مناسبت سالروز شهادت حضرت فاطمه زهرا س و شهادت ماموران,SAD,4
7555,خیلیم ممنون,HAPPY,2
5240,پروانه _ سلحشوری اگه روسری سر چوب کرده بودی این قدر ازتمتنفر نمیشدم که گفتی عمل گردنت به خاطر سنگینی چادرت بوده,HATE,3
6310,بدجوری گرونی به فروشندهها فشار آوردهاعصابمنذاشتهواسشون با صلوات باید بری توی مغازه,ANGRY,0
6853,وااایمنممم سر دکستر که گریهمیکردم تا چند روز الانم دلم نمیادفرندزوتند تند ببینم میترسمتمومشه,FEAR,1
1160,عکسای زیبای مورد نظر ندادین ناشناس دلم گرفت,SAD,4
5213,امیدوارم زندگی این هفته هم مثل اکثر هفتهها متعجبمکنه,SURPRISE,5
2610,من بدون امتحان خریدم بوشو اصلا دوست نداشتم,ANGRY,0
3238,تصویر زیبا از شجاعت تصویر هولناک از جنایت,ANGRY,0
2001,کنسول خیلیخوبیه این تنها چیزیهکه میتونمبگم,HAPPY,2
1190,ننگ این دوره را با آبزمزم و کوثر همنمیتوانشست ص هدایت StopHazaraGenocide,ANGRY,0
3921,رای _ من _ سرنگونی زمان ان فرارسیده که ایرانی عاری از اعدام و شکنجه و عاری از ظلم و ستم اخوندی بنا کنیم تحریم _ انتخابات MyVoteRegimeChange,ANGRY,0
585,من اصلا بلد نیستم این بورس چجوریه ، افسردگی گرفتم,SAD,4
2042,نسبت به قیمت اصلا به صرفه نیست و کیفیت ضعیفی داره,ANGRY,0
2759,به نظر من هیچ کارایی نداره فقط برای زیباییه,ANGRY,0
4767,دوستم عاشق دوبله و گویندگیه برای تست رفته بود استودیو ، وقتی اومد مدرسه وسط زنگ آمار و احتمال بود معلم آمار بهش گفت کجا بودی ؟ دوستم گفت رفتم تست دوبله بدم اونم برگشت گفت دیدی تو ریاضی چیزی نمیشیرفتی سراغ گویندگی ؟ میدونم هیچ وقت قرار نیست زخمی که به دوستم زد پاکشه,SAD,4
6067,من این عطروتوپیشنهادشگفتانگیزگرفتمگفتم شایدارزش داشته باشه ولی بااینکه رایحه به نسبت خوبی داشت ولی پخش وماندگاری دقیقا یک دقیقه وبعدازیک دقیقه هیچ رایحهایازاینعطرحسنمیکنین حتی با مکش بسیارقوی,SAD,4
8371,آری والا گفتم چرا بو نفت میده په بگو تو نبودی,SURPRISE,5
7741,باند چیچیه ما که فقط نقد فیلم و فلسفهمیکردیم من فحشامو جای دیگه میدم,ANGRY,0
914,بسیار عالی بعد از ماه استفاده,HAPPY,2
3878,آدمای زیادی هسن که جوابمنشننمیدن حالااینکه تو به خودت گرفتی حکایت اینه که فحشرو بنداززمین و اینا,HATE,3
825,اینکه برای mimax یک هست پولم بر باد رفت,ANGRY,0
6320,تعدادی از اعتراضکنندگان آذربایجانی که در جریان قیام به گلوله نیروهای امنیتی کشته شدهاند وقتی اینها کشته میشدنند خیلیها علاوهبراینکه ساکت بودنند بر طبل سرکوب هم میکوبیدنند یاد همه کشتهشدگان راه آزادی و کشتهشدگان امروز زنده باد آذربایجان,SAD,4
5250,البته امیدوارم مرغها ازاینکه به کونشون اشاره کردم ناراحتنشن ولی خب منظور رو باید میرسوندم,SAD,4
2469,از دوست داشتن و دوست نداشته شدن خسته شدم,SAD,4
2242,در خریدششک نکنید شارژم خوب نگه میداره,HAPPY,2
7871,پروترازینحرفانمیترسمسرفهکنم منو تو اتاق خونم قرنطینه کنن,FEAR,1
159,بالاخره امروز حوصله کردم فوتبال ببینم,HAPPY,2
2687,عکس امروز زیبا دلنشین و رویایی,HAPPY,2
8005,کی ؟,SURPRISE,5
2063,هیچی کاملا واقعبینانه و جدی هیچ امیدی به درست شدن وضعیت ندارم,SAD,4
4432,هر اتاقی میری صحبت همههمکارا بحث دلار و چیمیشه و فلان چیز پیدا نمیشه و بدبخت شدیم و عجب حماقتیکردیم نرفتیمو و من خوشحال ازینکه غروب میریمیهعالمهگلدون بخرم,HAPPY,2
7666,میگن تو جهنم یهعقربجرارههایی هست که ادم از ترسشون به مار غاشیهپناه میبره,FEAR,1
2489,بعد از وقفه چندین ماهه دوباره بحث واکسن ، کرونا و مرگ و میر ناشی از اون به تیتر خبرها برگشت دروغ,SAD,4
6326,یک قصه بیش نیست غم عشق و این عجب کز هر کسی که میشنومنامکرر است حافظ,SAD,4
426,آخرین مهمونی سال کاش همه کساییکه دوستشون دارم امشب پیشمون بودن جاتونخالیه در هر صورت,SAD,4
4866,حیف که نمیخوام فحش بدم ، حیف,ANGRY,0
1754,دیدم که برنداشت کسی نعشم از زمین خود نعش خود به شانهگرفتم گریستم مهسا _ امینی IRCGterrorists,SAD,4
4194,مژده جون پس مژهبزن که بریزه اشک شادی,HAPPY,2
1760,جان حسن _ فیروزیدرخطراست صدایش باشیم مهسا _ امینی قیام _ تا _ سرنگونی,FEAR,1
2510,در خریدششک نکنید مناسب برای تمامی گروه سنی,HAPPY,2
6570,واقعا از تکفرزندیممتنفرم خون میبارد,HATE,3
7962,وایخداااا خیلی وحشتناکه,FEAR,1
976,تو این سرما همین زلزلهرو کم داشتیم,SAD,4
3861,یه حالی هست ، که از بارون ، تماشای بهار نارنج ، خوندن یک بیت عمیق عمیقا به وجدمیای ، انگار دوستداری جهانوبغل کنی,SAD,4
4793,چه روزگار تلخ و سیاهی نان ، نیروی شگفت رسالت را مغلوب کرده بود پیغمبران گرسنه و مفلوک از وعدهگاههای الهی گریختند وبرههایگمشدهئ عیسی دیگر صدای هی هی چوپانی را در بهتدشتها نشنیدند فروغ _ فرخزاد آیههای زمینی,SAD,4
5141,کاش یک راهی برای فرار ازاین مملکت بود,SAD,4
7957,خیلی قشنگه من عاشق موسیقی کردیم بااینکهمتجهنمیشمچی میگن,HAPPY,2
6062,بدون شک بهترین بازی شبیه ساز رانندگی هست ، اگر میخواین از رانندگی واقعی لذتببرین ، حتما این بازی رو تجربه کنین ، خیلی از رانندگان دنیای واقعی از این بازی برای شبیهساز رانندگیشوناستفاده میکنن,HAPPY,2
5320,لعنت به فرقهتبهکار که باعث نابودی ایران عزیزمان هستن WeSupportPolandSummit,HATE,3
7212,واگذاری کیش درجلسه دوم حتمی شد هشدارواخطار شدید به همه هممیهنان شایعه و حرف نبود ، متاسفانه حقیقت محض است بر اساس مذاکرات محرمانه واز پیش انجام شده بین ایران با دولت چین ، اخیرا یک تیم از کارشناسان و ماموران اطلاعاتی چین وارد ایران شدهاند اگه حقیقت داشته باشه وای بر ما,SAD,4
